Sample 	Min_coverage	Max_coverage	Average_coverage	Min_quality	Max_quality	Average_quality	%_Missing_sites(N)
HU-29-EX1-OT1-MBTR_A_HA_H3	 922	 5481	 4323.01	 35.52	 38.75	 38.00	 0.00
HU-29-EX1-OT1-MBTR_A_MP	 3645	 29316	 21380.80	 35.04	 38.69	 38.06	 0.00
HU-29-EX1-OT1-MBTR_A_NA_N2	 601	 6607	 4513.63	 34.96	 38.69	 38.09	 0.00
HU-29-EX1-OT1-MBTR_A_NP	 809	 5146	 4088.03	 34.34	 38.63	 37.94	 0.00
HU-29-EX1-OT1-MBTR_A_NS	 24	 195	 132.26	 35.71	 38.76	 37.96	 5.13
HU-29-EX1-OT1-MBTR_A_PA	 642	 2843	 1089.10	 36.15	 38.83	 38.11	 0.00
HU-29-EX1-OT1-MBTR_A_PB1	 303	 1100	 832.25	 35.49	 38.71	 38.09	 0.00
HU-29-EX1-OT1-MBTR_A_PB2	 806	 2096	 1734.72	 36.17	 38.72	 38.00	 0.00
HU-29-EX1-OT2-UNI_A_HA_H3	 1832	 14297	 10708.20	 35.26	 38.66	 37.78	 0.00
HU-29-EX1-OT2-UNI_A_MP	 1039	 14001	 9572.02	 34.21	 38.57	 37.88	 0.00
HU-29-EX1-OT2-UNI_A_NA_N2	 403	 6730	 4319.55	 34.40	 38.55	 37.90	 0.00
HU-29-EX1-OT2-UNI_A_NP	 521	 5235	 3992.19	 33.35	 38.57	 37.71	 0.00
HU-29-EX1-OT2-UNI_A_NS	 122	 1137	 839.63	 34.38	 38.66	 37.94	 0.00
HU-29-EX1-OT2-UNI_A_PA	 1563	 8110	 5434.36	 35.16	 38.65	 37.86	 0.00
HU-29-EX1-OT2-UNI_A_PB1	 637	 7689	 5994.33	 34.40	 38.56	 37.84	 0.00
HU-29-EX1-OT2-UNI_A_PB2	 1886	 8616	 6865.58	 35.08	 38.60	 37.75	 0.00
HU-29-EX1-OT3-MBTA_A_HA_H3	 123	 669	 521.08	 34.80	 38.73	 37.75	 0.00
HU-29-EX1-OT3-MBTA_A_MP	 695	 5871	 4003.66	 34.54	 38.63	 37.81	 0.00
HU-29-EX1-OT3-MBTA_A_NA_N2	 89	 1202	 783.71	 34.93	 38.73	 37.85	 0.00
HU-29-EX1-OT3-MBTA_A_NP	 70	 651	 495.66	 33.48	 38.56	 37.64	 0.00
HU-29-EX1-OT3-MBTA_A_NS	 5	 32	 19.67	 34.38	 39.00	 37.72	 99.88
HU-29-EX1-OT3-MBTA_A_PA	 91	 678	 189.74	 35.75	 38.78	 37.84	 0.00
HU-29-EX1-OT3-MBTA_A_PB1	 1	 19	 5.73	 18.00	 39.14	 37.77	 99.96
HU-29-EX1-OT3-MBTA_A_PB2	 55	 336	 233.60	 35.85	 38.67	 37.67	 0.00
HU-30-EX1-OT1-MBTR_A_HA_H3	 71	 539	 361.72	 35.50	 38.74	 37.76	 0.00
HU-30-EX1-OT1-MBTR_A_MP	 122	 1124	 724.62	 34.59	 38.59	 37.83	 0.00
HU-30-EX1-OT1-MBTR_A_NA_N2	 40	 289	 210.90	 33.88	 38.84	 37.85	 0.57
HU-30-EX1-OT1-MBTR_A_NP	 30	 279	 203.48	 32.93	 38.69	 37.70	 0.93
HU-30-EX1-OT1-MBTR_A_NS	 82	 555	 373.50	 34.55	 38.69	 37.99	 0.00
HU-30-EX1-OT1-MBTR_A_PA	 35	 157	 66.16	 33.73	 38.99	 37.76	 41.54
HU-30-EX1-OT1-MBTR_A_PB1	 23	 118	 84.25	 34.30	 38.79	 37.71	 5.45
HU-30-EX1-OT1-MBTR_A_PB2	 57	 254	 118.48	 35.27	 38.80	 37.86	 0.00
HU-30-EX1-OT2-UNI_A_HA_H3	 334	 1757	 1310.85	 35.59	 38.65	 37.84	 0.00
